Company,Role,Qualification,Last Date to Apply,Experience Required
Epsilon,Data Analyst,BE/B.Tech,17-Sep-22,0 Years
Teamlease Digital hiring for a leading audit and tax company,Analyst,Any Graduate,31-Oct-22,0 Years
For a Client of Teamlease Digital,Analyst,B.Com,26-Sep-22,1.5 to 3+ Years
Client of Freshersworld,Business Analyst,BE/B.Tech,03-Nov-22,0 Years
Udhaivi Healthcare India Pvt Ltd,Marketing Analyst,BBA/BBM,01-Oct-22,0 Years
Str8bat Sport Tech,Sports Analyst,Diploma,12-Sep-22,0 Years
For a Client of Teamlease Digital,Support Analyst,B.Com,05-Nov-22,3 to 3+ Years
For a client of TeamLease Services Ltd,Quality Analyst,BE/B.Tech,19-Oct-22,3+ Years
Black & White Business Solutions,Quality Analyst,Diploma,05-Oct-22,0 Years
Werize,Business Analyst,B.Com,28-Sep-22,1 Years
Paktolus Solutions,Business Analyst,BE/B.Tech,17-Sep-22,0 Years
For a Client of Teamlease Digital,Financial Analyst,B.Com,19-Sep-22,0 Years
For a client of TeamLease Services Ltd,Financial Analyst,CA,30-Sep-22,3 to 3+ Years
For a Client of Teamlease Digital,Service Desk Analyst,BCA,23-Oct-22,3 to 3+ Years
For a client of TeamLease Services Ltd,Financial System Analyst,B.Com,09-Oct-22,3+ Years
Client of Teamlease,Direct Tax Analyst,MBA/PGDM,27-Sep-22,0 Years
Oracle Cerner,Change Implementation Analyst I/Technical Solution Analyst I,BE/B.Tech,30-Sep-22,0 Years
CuzorLabs,Data Labelling,Any Graduate,13-Sep-22,0 Years
TuringMinds.ai,Data Scientist,BE/B.Tech,04-Nov-22,0 Years
A Client of Freshersworld,Data Engineers,BE/B.Tech,04-Oct-22,0 Years
A Client of Freshersworld,Data Engineer,BE/B.Tech,25-Sep-22,0 Years
WizKlub Learning,Data Entry,10th Pass (SSC),12-Sep-22,0 Years
Vertisage Technology Private Limited,Data Engineer,BE/B.Tech,08-Oct-22,0 Years
Mmaps,Data Engineer,Certificate Course (ITI),16-Sep-22,0 Years
Arthur J. Gallagher,Process Associate/Process Analyst,B.Com,30-Sep-22,0 to 3 Years
Busigence Technologies,Big Data Engineer,BE/B.Tech,26-Oct-22,0 to 2 Years
PERFECT MANAGEMENT SERIVICES,Data Entry Executive,LLM,28-Sep-22,0 Years
Christ TECH,Data Entry Operator,B.Com,01-Oct-22,0 Years
Leadsark,Online Data Entry,B.Com,16-Sep-22,0 Years
Client of Freshersworld,Data Science Engineer,BE/B.Tech,29-Oct-22,0 Years
MAPCOM INFO SOLUTION PRIVATE LIMITED,Data Scientist Engineer,Diploma,07-Oct-22,0 to 2 Years
Dreammart,Data Entry Operator,10th Pass (SSC),11-Oct-22,0 Years
PERFECT MANAGEMENT SERIVICES,Data Entry Operator,LLM,01-Oct-22,0 Years
A Client of Freshersworld,Specialist - Data Engineering,BCA,30-Sep-22,0 Years
Quantiphi,Platform Engineer / Data Engineer,BE/B.Tech,30-Sep-22,0 Years
Abstream Technologies,Data Center Technology Engineer,BCA,17-Sep-22,0 Years
Chiteki Tech,Data Entry Operator Computer,BA,12-Sep-22,0 Years
Yes trade services,Back Office/Data Entry,B.Com,21-Oct-22,0 Years
Finverse Solutions LLP,Data Entry And Admin Executive,B.Com,22-Oct-22,0 Years
For a Client of Teamlease Digital,Data Center IT IS consultant,B.Com,05-Nov-22,2 to 3+ Years
ONEPAPER RESEARCH ANALYSTS PRIVATE LIMITED,Operations Executive,B.Arch,25-Oct-22,0 to 2 Years
ONEPAPER RESEARCH ANALYSTS PRIVATE LIMITED,Telesales Executive,Diploma,19-Sep-22,0 Years
ONEPAPER RESEARCH ANALYSTS PRIVATE LIMITED,Customer Care Executive,B.Com,22-Oct-22,0 Years
Nimesa,Java developer,BCA,30-Sep-22,0 Years
Quantiphi,Platform Engineer/Machine Learning Engineer/Software Developer,BE/B.Tech,30-Sep-22,0 Years
For a Client of Teamlease Digital,Bigdata Developer,B.Com,05-Nov-22,3 to 3+ Years
Xlsquare research services,Business Development Associate,Diploma,17-Sep-22,0 Years
InCred Financial Services Limited,Executive Assistance,Diploma,12-Sep-22,0 Years
Numen Health,Graphic Design,B.Design,15-Sep-22,0 Years
Telos People Incorporation,Human Resources HR,Certificate Course (ITI),15-Sep-22,0 Years
GeoPITS,Business Development Associate,MBA/PGDM,11-Sep-22,0 Years
Conexus Software Solutions Pvt Ltd,Junior Software Engineer,BE/B.Tech,31-Oct-22,0 Years
Micro Focus Software India Pvt. Ltd,Software Developer - Systems Programming,BE/B.Tech,30-Sep-22,0 Years
Micro Focus Software India Pvt. Ltd,QA Engineer,BE/B.Tech,30-Sep-22,0 Years
Micro Focus Software India Pvt. Ltd,Testing QA,BE/B.Tech,30-Sep-22,0 Years
IQnext,Human Resources,BBA/BBM,14-Sep-22,0 Years
Micro Focus Software India Pvt. Ltd,Software Developer - Web Technologies,BE/B.Tech,30-Sep-22,0 Years
Micro Focus Software India Pvt. Ltd,Lab Engineer,Diploma,30-Sep-22,0 Years
asap infosystems,IT Software Developer,BE/B.Tech,21-Sep-22,0.6 to 2 Years
Getmyuni,Business Development Executive,MBA/PGDM,18-Oct-22,0 Years
Vindhya E infomedia pvt ltd,Customer Support Executive,12th Pass (HSE),26-Sep-22,0 Years
Chqbook,Content Writing,Certificate Course (ITI),14-Sep-22,0 Years
Harness Design And Simulation Aid,CAD Design Engineering,BE/B.Tech,14-Sep-22,0 Years
Micro Village Communications Pvt Ltd,Business Development Executive,B.Com,31-Oct-22,0 Years
Aknamed Private Limited,Graphic Design,B.Design,13-Sep-22,0 Years
Blume Global,Software Engineer,BE/B.Tech,04-Oct-22,0 Years
SkySurge Business Solutions Pvt Ltd,Software Developer -ERP,BCA,28-Oct-22,0 Years
Kofluence,Human Resource/ Admin,BE/B.Tech,03-Oct-22,0.6 to 1 Years
